,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Metascore,Votes,Gross collection,Description,Certificate
915,Creed,II 2015,133 min,"Action, Drama, Sport            ",7.6,82,"268,219",$109.77M,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",PG-13
916,Leviathan,2014,140 min,"Crime, Drama            ",7.6,92,"53,130",$1.09M,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",R
917,Hell or High Water,II 2016,102 min,"Action, Crime, Drama            ",7.6,88,"226,270",$26.86M,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,R
918,Philomena,2013,98 min,"Biography, Comedy, Drama            ",7.6,77,"99,461",$37.71M,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",PG-13
919,Dawn of the Planet of the Apes,2014,130 min,"Action, Adventure, Drama            ",7.6,79,"435,158",$208.55M,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,PG-13
920,The Raid: Redemption,2011,101 min,"Action, Crime, Thriller            ",7.6,73,"202,486",$4.11M,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,R
921,End of Watch,2012,109 min,"Action, Adventure, Crime            ",7.6,68,"244,750",$41.00M,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",R
922,127 Hours,2010,94 min,"Biography, Drama            ",7.6,82,"372,114",$18.34M,"A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.",R
923,A Star Is Born,2018,136 min,"Drama, Music, Romance            ",7.6,88,"374,365",$215.29M,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,R
924,True Grit,2010,110 min,"Drama, Western            ",7.6,80,"334,561",$171.24M,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,PG-13
925,Despicable Me,2010,95 min,"Animation, Adventure, Comedy            ",7.6,72,"534,541",$251.51M,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",PG
926,Rise of the Planet of the Apes,2011,105 min,"Action, Drama, Sci-Fi            ",7.6,68,"521,273",$176.76M,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,PG-13
927,50/50,2011,100 min,"Comedy, Drama, Romance            ",7.6,72,"327,884",$35.01M,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",R
928,Kick-Ass,2010,117 min,"Action, Comedy, Crime            ",7.6,66,"554,528",$48.07M,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",R
929,Celda 211,2009,113 min,"Action, Crime, Drama            ",7.6,None,"67,269",None,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",113 min
930,Moneyball,2011,133 min,"Biography, Drama, Sport            ",7.6,87,"412,910",$75.61M,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,PG-13
931,The Skin I Live In,2011,120 min,"Drama, Horror, Thriller            ",7.6,70,"150,591",$3.19M,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",R
932,Zombieland,2009,88 min,"Action, Comedy, Horror            ",7.6,73,"564,038",$75.59M,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.",R
933,The Blind Side,2009,129 min,"Biography, Drama, Sport            ",7.6,53,"325,415",$255.96M,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",PG-13
934,Ponyo,2008,101 min,"Animation, Adventure, Comedy            ",7.6,86,"140,519",$15.09M,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",G
935,Superbad,2007,113 min,Comedy            ,7.6,76,"565,287",$121.46M,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,R
936,Seven Pounds,2008,123 min,Drama            ,7.6,36,"300,311",$69.95M,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,PG-13
937,Eastern Promises,2007,100 min,"Crime, Drama, Thriller            ",7.6,82,"240,601",$17.11M,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,R
938,Stardust,2007,127 min,"Adventure, Family, Fantasy            ",7.6,66,"269,930",$38.63M,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",PG-13
939,United 93,2006,111 min,"Action, Drama, History            ",7.6,90,"105,847",$31.57M,"A real-time account of the events on United Flight 93, one of the planes hijacked on September 11th, 2001 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.",R
940,Inside Man,2006,129 min,"Crime, Drama, Mystery            ",7.6,76,"367,453",$88.51M,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",R
941,Gone Baby Gone,2007,114 min,"Crime, Drama, Mystery            ",7.6,72,"269,704",$20.30M,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",R
942,Kung Fu Panda,2008,92 min,"Animation, Action, Adventure            ",7.6,74,"457,922",$215.43M,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",PG
