,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Metascore,Votes,Gross collection,Description,Certificate
132,M,1931,99 min,"Crime, Mystery, Thriller            ",8.3,None,"155,736",$0.03M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Passed
133,Metropolis,1927,153 min,"Drama, Sci-Fi            ",8.3,98,"172,026",$1.24M,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Not Rated
134,The Kid,1921,68 min,"Comedy, Drama, Family            ",8.3,None,"124,904",$5.45M,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",Passed
135,Chhichhore,2019,143 min,"Comedy, Drama, Romance            ",8.2,None,"50,480",$0.90M,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Not Rated
136,1917,2019,119 min,"Action, Drama, War            ",8.2,78,"554,892",$159.23M,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",R
137,Uri: The Surgical Strike,2019,138 min,"Action, Drama, History            ",8.2,None,"59,318",$4.19M,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Not Rated
138,Tumbbad,2018,104 min,"Drama, Fantasy, Horror            ",8.2,None,"42,236",None,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,Not Rated
139,Andhadhun,2018,139 min,"Comedy, Crime, Music            ",8.2,None,"89,687",$1.37M,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Not Rated
140,K.G.F: Chapter 1,2018,156 min,"Action, Crime, Drama            ",8.2,None,"76,783",None,"In the 1970s, a gangster goes undercover as a slave to assassinate the owner of a notorious gold mine.",Not Rated
141,Green Book,2018,130 min,"Biography, Comedy, Drama            ",8.2,69,"467,332",$85.08M,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,PG-13
142,Vikram Vedha,2017,147 min,"Action, Crime, Drama            ",8.2,None,"37,369",None,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",Not Rated
143,Baahubali 2: The Conclusion,2017,167 min,"Action, Drama            ",8.2,None,"93,698",$20.19M,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",Not Rated
144,Drishyam,2015,163 min,"Crime, Drama, Mystery            ",8.2,None,"79,993",$0.74M,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Not Rated
145,Bhaag Milkha Bhaag,2013,186 min,"Biography, Drama, Sport            ",8.2,None,"67,009",$1.63M,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",Not Rated
146,Inside Out,I 2015,95 min,"Animation, Adventure, Comedy            ",8.2,94,"691,117",$356.46M,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",PG
147,Gangs of Wasseypur,2012,321 min,"Action, Comedy, Crime            ",8.2,89,"94,021",None,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Not Rated
148,Paan Singh Tomar,2012,135 min,"Action, Biography, Crime            ",8.2,None,"36,015",$0.04M,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Not Rated
149,The Secret in Their Eyes,2009,129 min,"Drama, Mystery, Romance            ",8.2,80,"206,990",$6.39M,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,R
150,Warrior,2011,140 min,"Action, Drama, Sport            ",8.2,71,"464,805",$13.66M,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",PG-13
151,Shutter Island,2010,138 min,"Mystery, Thriller            ",8.2,63,"1,263,937",$128.01M,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",R
152,Demon Slayer the Movie: Mugen Train,2020,117 min,"Animation, Action, Adventure            ",8.2,72,"53,116",$47.70M,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",R
153,Miracle in Cell No. 7,2019,132 min,Drama            ,8.2,None,"47,237",None,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie Miracle in Cell No. 7 (2013).,TV-14
154,Article 15,2019,130 min,"Crime, Drama, Mystery            ",8.2,None,"32,821",None,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",Not Rated
155,The Father,I 2020,97 min,"Drama, Mystery            ",8.2,88,"137,915",#132,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",PG-13
156,The Wolf of Wall Street,2013,180 min,"Biography, Comedy, Crime            ",8.2,75,"1,348,141",$116.90M,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",R
157,No Country for Old Men,2007,122 min,"Crime, Drama, Thriller            ",8.2,92,"945,359",$74.28M,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,R
158,My Father and My Son,2005,112 min,"Drama, Family            ",8.2,None,"85,857",#242,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Not Rated
159,There Will Be Blood,2007,158 min,Drama            ,8.2,93,"572,182",$40.22M,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",R
160,Pan's Labyrinth,2006,118 min,"Drama, Fantasy, War            ",8.2,98,"658,057",$37.63M,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",R
161,V for Vendetta,2005,132 min,"Action, Drama, Sci-Fi            ",8.2,62,"1,101,724",$70.51M,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",R
162,Batman Begins,2005,140 min,"Action, Crime, Drama            ",8.2,70,"1,432,262",$206.85M,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",PG-13
163,Downfall,2004,156 min,"Biography, Drama, History            ",8.2,82,"351,127",$5.51M,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",R
164,Howl's Moving Castle,2004,119 min,"Animation, Adventure, Family            ",8.2,80,"381,569",$4.71M,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",PG
165,A Beautiful Mind,2001,135 min,"Biography, Drama            ",8.2,72,"913,758",$170.74M,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",PG-13
166,Kill Bill: Vol. 1,2003,111 min,"Action, Crime, Drama            ",8.2,69,"1,087,843",$70.10M,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",R
167,Finding Nemo,2003,100 min,"Animation, Adventure, Comedy            ",8.2,90,"1,020,687",$380.84M,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",G
168,The Sixth Sense,1999,107 min,"Drama, Mystery, Thriller            ",8.2,64,"971,911",$293.51M,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",PG-13
169,"Lock, Stock and Two Smoking Barrels",1998,107 min,"Action, Comedy, Crime            ",8.2,66,"572,631",$3.90M,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",R
170,The Truman Show,1998,103 min,"Comedy, Drama            ",8.2,90,"1,042,224",$125.62M,An insurance salesman discovers his whole life is actually a reality TV show.,PG
171,L.A. Confidential,1997,138 min,"Crime, Drama, Mystery            ",8.2,90,"573,381",$64.62M,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",R
172,Children of Heaven,1997,89 min,"Drama, Family, Sport            ",8.2,77,"73,783",$0.93M,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",PG
173,Casino,1995,178 min,"Crime, Drama            ",8.2,73,"507,964",$42.44M,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",R
174,Jurassic Park,1993,127 min,"Action, Adventure, Sci-Fi            ",8.2,68,"952,996",$402.45M,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,PG-13
175,Unforgiven,1992,130 min,"Drama, Western            ",8.2,85,"405,273",$101.16M,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",R
176,Indiana Jones and the Last Crusade,1989,127 min,"Action, Adventure            ",8.2,65,"740,364",$197.17M,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",PG-13
